[0 0 0] 0 [-0.6509445549041193, -0.6509445549041193, 0.3905667329424716] => 10
[0 0 0] 0 [-0.6564755740158461, -0.6433460625355292, 0.3938853444095077] => 10
[0 0 0] 0 [-0.66203392666547, -0.6355525695988512, 0.39722035599928196] => 10
[0 0 0] 0 [-0.6676168423374141, -0.6275598317971692, 0.4005701054024485] => 10
[0 0 0] 0 [-0.6732213425535584, -0.6193636351492737, 0.403932805532135] => 10
[0 0 0] 0 [-0.6788442333021307, -0.6109598099719176, 0.4073065399812784] => 10
[0 0 0] 0 [-0.684482097741742, -0.6023442460127328, 0.41068925864504513] => 10
[0 0 0] 0 [-0.690131289261953, -0.5935129087652795, 0.41407877355717176] => 10
[0 0 0] 0 [-0.6957879249892208, -0.5844618569909454, 0.4174727549935325] => 10
[0 0 0] 0 [-0.7014478798345497, -0.5751872614643307, 0.4208687279007298] => 10
[0 0 0] 0 [-0.7071067811865476, -0.565685424949238, 0.4242640687119285] => 10
[0 0 0] 0 [-0.7127600043607227, -0.5559528034013638, 0.4276560026164336] => 10
[0 0 0] 0 [-0.7184026689225976, -0.5459860283811742, 0.43104160135355857] => 10
[0 0 0] 0 [-0.7240296360083684, -0.5357819306461927, 0.4344177816050211] => 10
[0 0 0] 0 [-0.7296355067722238, -0.5253375648760011, 0.43778130406333426] => 10
[0 0 0] 0 [-0.7352146220938078, -0.5146502354656655, 0.44112877325628463] => 10
[0 0 0] 0 [-0.7407610636824498, -0.5037175233040658, 0.44445663820946985] => 10
[0 0 0] 0 [-0.746268656716418, -0.49253731343283585, 0.44776119402985076] => 10
[0 0 0] 0 [-0.7517309741553296, -0.4811078234594109, 0.4510385844931977] => 10
[0 0 0] 0 [-0.7571413428616858, -0.4694276325742452, 0.4542848057170114] => 10
[0 0 0] 0 [-0.7624928516630233, -0.45749571099781394, 0.45749571099781394] => 10
[0 0 0] 0 [-0.7677783614791293, -0.445311449657895, 0.4606670168874776] => 10
[0 0 0] 0 [-0.7729905176288828, -0.43287468987217437, 0.4637943105773297] => 10
[0 0 0] 0 [-0.7781217644183748, -0.42018575278592235, 0.4668730586510248] => 10
[0 0 0] 0 [-0.7831643620957981, -0.407245468289815, 0.46989861725747883] => 10
[0 0 0] 0 [-0.7881104062391006, -0.3940552031195503, 0.4728662437434603] => 10
[0 0 0] 0 [-0.792951849619439, -0.3806168878173307, 0.47577110977166337] => 10
[0 0 0] 0 [-0.7976805265571301, -0.36693304221627987, 0.47860831593427805] => 10
[0 0 0] 0 [-0.8022881797571, -0.35300679909312394, 0.48137290785425996] => 10
[0 0 0] 0 [-0.8067664895780353, -0.3388419256227748, 0.4840598937468212] => 10
[0 0 0] 0 [-0.8111071056538127, -0.32444284226152503, 0.4866642633922876] => 10
[0 0 0] 0 [-0.8153016807477779, -0.30981463868415554, 0.4891810084486667] => 10
[0 0 0] 0 [-0.8193419066805777, -0.29496308640500796, 0.4916051440083466] => 10
[0 0 0] 0 [-0.8232195521312126, -0.27989464772461226, 0.4939317312787275] => 10
[0 0 0] 0 [-0.826926502069528, -0.26461648066224897, 0.49615590124171677] => 10
[0 0 0] 0 [-0.8304547985373997, -0.2491364395612199, 0.4982728791224398] => 10
[0 0 0] 0 [-0.8337966824563376, -0.23346307108777453, 0.5002780094738025] => 10
[0 0 0] 0 [-0.8369446361022049, -0.21760560538657328, 0.5021667816613229] => 10
[0 0 0] 0 [-0.8398914258542448, -0.20157394220501876, 0.5039348555125468] => 10
[0 0 0] 0 [-0.8426301447967508, -0.18537863185528514, 0.5055780868780504] => 10
[0 0 0] 0 [-0.8451542547285166, -0.1690308509457033, 0.50709255283711] => 10
[0 0 0] 0 [-0.847457627118644, -0.15254237288135591, 0.5084745762711864] => 10
[0 0 0] 0 [-0.8495345825382311, -0.13592553320611697, 0.5097207495229387] => 10
[0 0 0] 0 [-0.851379928096609, -0.11919318993352525, 0.5108279568579653] => 10
[0 0 0] 0 [-0.8529889924186755, -0.10235867909024106, 0.5117933954512053] => 10
[0 0 0] 0 [-0.8543576577167609, -0.08543576577167608, 0.5126145946300565] => 10
[0 0 0] 0 [-0.8554823885364436, -0.06843859108291549, 0.5132894331218661] => 10
[0 0 0] 0 [-0.8563602567905544, -0.051381615407433266, 0.5138161540743327] => 10
[0 0 0] 0 [-0.8569889627388263, -0.03427955850955305, 0.5141933776432958] => 10
[0 0 0] 0 [-0.8573668516214838, -0.017147337032429676, 0.5144201109728903] => 10
[0 0 0] 0 [-0.8574929257125442, 0.0, 0.5144957554275265] => 10
[0 0 0] 0 [-0.8573668516214838, 0.017147337032429676, 0.5144201109728903] => 10
[0 0 0] 0 [-0.8569889627388263, 0.03427955850955305, 0.5141933776432958] => 10
[0 0 0] 0 [-0.8563602567905544, 0.051381615407433266, 0.5138161540743327] => 10
[0 0 0] 0 [-0.8554823885364436, 0.06843859108291549, 0.5132894331218661] => 10
[0 0 0] 0 [-0.8543576577167609, 0.08543576577167608, 0.5126145946300565] => 10
[0 0 0] 0 [-0.8529889924186755, 0.10235867909024106, 0.5117933954512053] => 10
[0 0 0] 0 [-0.851379928096609, 0.11919318993352525, 0.5108279568579653] => 10
[0 0 0] 0 [-0.8495345825382311, 0.13592553320611697, 0.5097207495229387] => 10
[0 0 0] 0 [-0.847457627118644, 0.15254237288135591, 0.5084745762711864] => 10
[0 0 0] 0 [-0.8451542547285166, 0.1690308509457033, 0.50709255283711] => 10
[0 0 0] 0 [-0.8426301447967508, 0.18537863185528514, 0.5055780868780504] => 10
[0 0 0] 0 [-0.8398914258542448, 0.20157394220501876, 0.5039348555125468] => 10
[0 0 0] 0 [-0.8369446361022049, 0.21760560538657328, 0.5021667816613229] => 10
[0 0 0] 0 [-0.8337966824563376, 0.23346307108777453, 0.5002780094738025] => 10
[0 0 0] 0 [-0.8304547985373997, 0.2491364395612199, 0.4982728791224398] => 10
[0 0 0] 0 [-0.826926502069528, 0.26461648066224897, 0.49615590124171677] => 10
[0 0 0] 0 [-0.8232195521312126, 0.27989464772461226, 0.4939317312787275] => 10
[0 0 0] 0 [-0.8193419066805777, 0.29496308640500796, 0.4916051440083466] => 10
[0 0 0] 0 [-0.8153016807477779, 0.30981463868415554, 0.4891810084486667] => 10
[0 0 0] 0 [-0.8111071056538127, 0.32444284226152503, 0.4866642633922876] => 10
[0 0 0] 0 [-0.8067664895780353, 0.3388419256227748, 0.4840598937468212] => 10
[0 0 0] 0 [-0.8022881797571, 0.35300679909312394, 0.48137290785425996] => 10
[0 0 0] 0 [-0.7976805265571301, 0.36693304221627987, 0.47860831593427805] => 10
[0 0 0] 0 [-0.792951849619439, 0.3806168878173307, 0.47577110977166337] => 10
[0 0 0] 0 [-0.7881104062391006, 0.3940552031195503, 0.4728662437434603] => 10
[0 0 0] 0 [-0.7831643620957981, 0.407245468289815, 0.46989861725747883] => 10
[0 0 0] 0 [-0.7781217644183748, 0.42018575278592235, 0.4668730586510248] => 10
[0 0 0] 0 [-0.7729905176288828, 0.43287468987217437, 0.4637943105773297] => 10
[0 0 0] 0 [-0.7677783614791293, 0.445311449657895, 0.4606670168874776] => 10
[0 0 0] 0 [-0.7624928516630233, 0.45749571099781394, 0.45749571099781394] => 10
[0 0 0] 0 [-0.7571413428616858, 0.4694276325742452, 0.4542848057170114] => 10
[0 0 0] 0 [-0.7517309741553296, 0.4811078234594109, 0.4510385844931977] => 10
[0 0 0] 0 [-0.746268656716418, 0.49253731343283585, 0.44776119402985076] => 10
[0 0 0] 0 [-0.7407610636824498, 0.5037175233040658, 0.44445663820946985] => 10
[0 0 0] 0 [-0.7352146220938078, 0.5146502354656655, 0.44112877325628463] => 10
[0 0 0] 0 [-0.7296355067722238, 0.5253375648760011, 0.43778130406333426] => 10
[0 0 0] 0 [-0.7240296360083684, 0.5357819306461927, 0.4344177816050211] => 10
[0 0 0] 0 [-0.7184026689225976, 0.5459860283811742, 0.43104160135355857] => 10
[0 0 0] 0 [-0.7127600043607227, 0.5559528034013638, 0.4276560026164336] => 10
[0 0 0] 0 [-0.7071067811865476, 0.565685424949238, 0.4242640687119285] => 10
[0 0 0] 0 [-0.7014478798345497, 0.5751872614643307, 0.4208687279007298] => 10
[0 0 0] 0 [-0.6957879249892208, 0.5844618569909454, 0.4174727549935325] => 10
[0 0 0] 0 [-0.690131289261953, 0.5935129087652795, 0.41407877355717176] => 10
[0 0 0] 0 [-0.684482097741742, 0.6023442460127328, 0.41068925864504513] => 10
[0 0 0] 0 [-0.6788442333021307, 0.6109598099719176, 0.4073065399812784] => 10
[0 0 0] 0 [-0.6732213425535584, 0.6193636351492737, 0.403932805532135] => 10
[0 0 0] 0 [-0.6676168423374141, 0.6275598317971692, 0.4005701054024485] => 10
[0 0 0] 0 [-0.66203392666547, 0.6355525695988512, 0.39722035599928196] => 10
[0 0 0] 0 [-0.6564755740158461, 0.6433460625355292, 0.3938853444095077] => 10
[0 0 0] 0 [-0.6433460625355292, -0.6564755740158461, 0.3938853444095077] => 10
[0 0 0] 0 [-0.6489070216092531, -0.6489070216092531, 0.39729001323015495] => 10
[0 0 0] 0 [-0.6544979213045459, -0.6411408208697592, 0.4007130130435995] => 10
[0 0 0] 0 [-0.6601160322576306, -0.633172520736911, 0.40415267281079426] => 10
[0 0 0] 0 [-0.6657584115179639, -0.6249976924454356, 0.40760719072528406] => 10
[0 0 0] 0 [-0.6714218942812078, -0.6166119437276398, 0.41107462915175985] => 10
[0 0 0] 0 [-0.6771030858641595, -0.6080109342453677, 0.41455290971275066] => 10
[0 0 0] 0 [-0.6827983540057854, -0.5991903922907912, 0.4180398085749706] => 10
[0 0 0] 0 [-0.688503821586769, -0.5901461327886591, 0.4215329519918994] => 10
[0 0 0] 0 [-0.6942153598683608, -0.5808740766245468, 0.4250298121643026] => 10
[0 0 0] 0 [-0.6999285823596569, -0.5713702713140056, 0.4285277034855043] => 10
[0 0 0] 0 [-0.7056388394306128, -0.561630913016202, 0.4320237792432323] => 10
[0 0 0] 0 [-0.7113412137959382, -0.5516523698825643, 0.43551502885465604] => 10
[0 0 0] 0 [-0.7170305170023337, -0.5414312067160478, 0.4389982757157145] => 10
[0 0 0] 0 [-0.7227012870580922, -0.5309642108998228, 0.44247017574985237] => 10
[0 0 0] 0 [-0.728347787349672, -0.5202484195354801, 0.44592721674469715] => 10
[0 0 0] 0 [-0.7339640069941678, -0.5092811477102389, 0.44936571856785784] => 10
[0 0 0] 0 [-0.7395436627794031, -0.49806001779021025, 0.45278183435473657] => 10
[0 0 0] 0 [-0.7450802028443113, -0.4865829896126115, 0.4561715527618233] => 10
[0 0 0] 0 [-0.7505668122510781, -0.47484839142415153, 0.4595307013782111] => 10
[0 0 0] 0 [-0.7559964205968496, -0.4628549513858263, 0.4628549513858263] => 10
[0 0 0] 0 [-0.7613617118063739, -0.4506018294364254, 0.4661398235549228] => 10
[0 0 0] 0 [-0.7666551362374198, -0.4380886492785256, 0.4693806956555631] => 10
[0 0 0] 0 [-0.7718689252179554, -0.4253155302221387, 0.4725728113579319] => 10
[0 0 0] 0 [-0.776995108117627, -0.4122831185930265, 0.4757112906842614] => 10
[0 0 0] 0 [-0.7820255320358702, -0.3989926183856481, 0.4787911420627777] => 10
[0 0 0] 0 [-0.7869518841649179, -0.38544582081547, 0.4818072760193375] => 10
[0 0 0] 0 [-0.7917657168579888, -0.37164513240272945, 0.48475452052529927] => 10
[0 0 0] 0 [-0.7964584754011405, -0.35759360120051203, 0.48762763800069825] => 10
[0 0 0] 0 [-0.8010215284518215, -0.34329494076506634, 0.4904213439500948] => 10
[0 0 0] 0 [-0.8054462010683614, -0.328753551456474, 0.49313032718471106] => 10
[0 0 0] 0 [-0.8097238102129505, -0.3139745386540012, 0.49574927155894927] => 10
[0 0 0] 0 [-0.8138457025666518, -0.2989637274734639, 0.4982728791224399] => 10
[0 0 0] 0 [-0.817803294449378, -0.2837276735844781, 0.5006958945608437] => 10
[0 0 0] 0 [-0.821588113591424, -0.26827366974413847, 0.5030131307702597] => 10
[0 0 0] 0 [-0.8251918424570307, -0.2526097476909278, 0.5052194953818556] => 10
[0 0 0] 0 [-0.8286063627756974, -0.2367446750787707, 0.5073100180259372] => 10
[0 0 0] 0 [-0.8318238008946788, -0.2206879471761393, 0.509279878098783] => 10
[0 0 0] 0 [-0.8348365735275822, -0.20444977310879567, 0.5111244327719892] => 10
[0 0 0] 0 [-0.8376374334404133, -0.1880410564866234, 0.5128392449635184] => 10
[0 0 0] 0 [-0.8402195145890541, -0.17147337032429674, 0.5144201109728903] => 10
[0 0 0] 0 [-0.8425763762021135, -0.1547589262412045, 0.5158630874706817] => 10
[0 0 0] 0 [-0.8447020452913945, -0.1379105380067583, 0.5171645175253435] => 10
[0 0 0] 0 [-0.8465910570697329, -0.12094157958139042, 0.5183210553488161] => 10
[0 0 0] 0 [-0.8482384927632878, -0.10386593788938218, 0.5193296894469108] => 10
[0 0 0] 0 [-0.8496400143229278, -0.08669796064519672, 0.5201877638711803] => 10
[0 0 0] 0 [-0.8507918955672168, -0.06945239963814015, 0.5208929972860511] => 10
[0 0 0] 0 [-0.8516910493274727, -0.052144349958824866, 0.5214434995882486] => 10
[0 0 0] 0 [-0.8523350502129328, -0.034789185722976845, 0.5218377858446527] => 10
[0 0 0] 0 [-0.8527221526703493, -0.017402492911639783, 0.5220747873491935] => 10
[0 0 0] 0 [-0.8528513040762653, 0.0, 0.5221538596385298] => 10
[0 0 0] 0 [-0.8527221526703493, 0.017402492911639783, 0.5220747873491935] => 10
[0 0 0] 0 [-0.8523350502129328, 0.034789185722976845, 0.5218377858446527] => 10
[0 0 0] 0 [-0.8516910493274727, 0.052144349958824866, 0.5214434995882486] => 10
[0 0 0] 0 [-0.8507918955672168, 0.06945239963814015, 0.5208929972860511] => 10
[0 0 0] 0 [-0.8496400143229278, 0.08669796064519672, 0.5201877638711803] => 10
[0 0 0] 0 [-0.8482384927632878, 0.10386593788938218, 0.5193296894469108] => 10
